time,ax,ay,az,yaw,distance
0.0,0.9208,2.01992,9.3312,196.9097,0.0054065969876377976
0.043,0.5018,0.81512,9.567,196.9644,0.015979515630849126
0.086,0.6934,1.61096,9.8567,197.0134,0.03165728570337348
0.129,-0.129,0.38512,10.5558,197.0761,0.05212199343119602
0.172,-0.0692,0.86496,9.7023,197.1323,0.07717934706577669
0.215,0.4707,2.20952,9.166,197.1727,0.10692700495689948
0.258,0.0505,0.96072,10.0925,197.2239,0.14120561945458282
0.301,0.3774,0.87928,10.2577,197.2766,0.1798717054960561
0.344,0.4683,0.73952,9.658,197.3238,0.222773935746471
0.387,-0.129,0.9416,9.1253,197.362,0.2697884756863875
0.43,0.0649,1.12064,9.5562,197.3954,0.3208461808887906
0.473,0.6072,0.84008,9.9046,197.4192,0.37585515916576256
0.516,0.2636,0.54128,10.6013,197.4353,0.43466323175663246
0.559,0.1044,0.53168,10.3535,197.4396,0.4971255943901134
0.602,0.3654,0.46752,9.4509,197.437,0.5631101706407649
0.645,0.3343,0.48664,9.4928,197.4223,0.6325002080368819
0.688,0.3534,1.4252,9.3802,197.3851,0.705365310822705
0.731,0.2469,0.93872,10.3571,197.3407,0.7816742343445457
0.774,-0.044,0.47616,11.2992,197.2947,0.8613029300602322
0.817,0.023,0.7108,10.7964,197.2466,0.9441862714474495
0.86,0.3953,0.79024,8.8403,197.1867,1.030293631265958
0.903,0.442,0.46176,8.8954,197.1207,1.1195377006500624
0.946,0.1858,0.37848,10.1871,197.0523,1.2118155184954844
0.989,0.4204,0.53648,8.6177,196.9809,1.307071608161578
1.032,0.0912,0.8764,9.0822,196.8966,1.4053084515542185
1.075,-0.2416,-0.35128,11.0478,196.8235,1.5062893142454206
1.118,-0.2044,-0.18464,10.6755,196.7459,1.6098339290717196
1.161,-0.548,-0.95272,10.9365,196.759,1.7156266890110035
1.204,-1.0628,-1.78592,10.9221,196.6797,1.8232132450424199
1.247,-0.542,-0.89432,8.316,196.6134,1.9323683617127965
1.29,-0.7407,-1.3128,8.6512,196.5489,2.0428062811446237
1.333,-0.7671,-1.62024,9.5598,196.4949,2.1542129070057165
1.376,-0.6557,-2.09904,9.3156,196.4465,2.2662205631720713
1.419,-0.5516,-2.15464,9.4221,196.4086,2.378491808821795
1.462,-0.2942,-2.20824,9.6137,196.3825,2.490720700056148
1.505,-0.4283,-1.53976,9.2126,196.3771,2.602753494651739
1.548,-0.4882,-1.7112,10.223,196.3826,2.714418829725367
1.591,-0.6893,-1.2908,10.32,196.4032,2.8256368495823274
1.634,-0.5708,-0.3944,10.3116,196.4381,2.9365080575454163
1.677,-0.8078,-1.1232,10.8024,196.4825,3.0469820133458088
1.72,-0.7096,-1.51296,10.0997,196.5351,3.156944425160156
1.763,-0.384,-1.00448,8.6045,196.5924,3.266396827365934
1.806,-0.5097,-0.79088,9.3216,196.6582,3.375378751344914
1.849,-0.8305,-2.32704,11.0825,196.7123,3.4836316628530573
1.892,-0.3098,-1.82232,9.9824,196.7717,3.5910301663295066
1.935,0.442,-0.45376,6.9932,196.8443,3.697733934789866
1.978,0.1882,-1.65184,10.0422,196.9053,3.803655020183029
2.021,0.2672,-1.21992,11.4979,196.9707,3.908795906017325
2.064,0.3833,-0.11288,9.8483,197.0377,4.013368113278329
2.107,0.3151,1.98352,9.002,197.0349,4.117954525402946
2.15,-0.0919,0.6284,12.0163,197.1021,4.222817684666953
2.193,-0.1685,0.88312,12.537,197.1697,4.328241211138168
2.236,-0.3696,1.71344,10.0781,197.2458,4.43463469066556
2.279,-0.1853,1.83984,8.4836,197.3124,4.542394546616083
2.322,-0.1566,0.6428,9.6867,197.3843,4.651653012081945
2.365,0.2026,0.10552,8.9277,197.4546,4.762432571735474
2.408,0.0386,-1.2008,9.8136,197.5173,4.874504367414856
2.451,0.0589,-0.80816,8.7757,197.5787,4.9877363010108935
2.494,0.357,0.09016,7.8958,197.6391,5.102181670752377
2.537,0.4623,-0.25264,9.215,197.6894,5.217823678088385
2.58,0.041,-0.92688,11.6667,197.7317,5.33451493986051
2.623,0.4181,0.72032,9.1731,197.7654,5.452436767288515
2.666,0.1703,0.63992,9.4533,197.7929,5.571734406858009
2.709,0.0553,0.1448,11.4285,197.8218,5.692444010781746
2.752,0.4671,0.50872,9.974,197.8485,5.814669374909644
2.795,0.2672,0.08064,9.7525,197.8719,5.938420966198583
2.838,0.5785,1.86672,8.8044,197.893,6.064046805111867
2.881,0.1846,0.45024,11.2824,197.9083,6.1915896895462295
2.924,-0.2954,-0.40496,13.211,197.9214,6.320924495320235
2.967,0.0781,1.204,8.5016,197.9197,6.452244742572661
3.01,0.0398,0.76536,8.2765,197.9085,6.585641606971033
3.053,0.2313,0.99232,9.5694,197.8868,6.721240557103451
3.096,0.1547,0.62168,9.567,197.8607,6.8590840086194405
3.139,-0.068,-0.09656,11.4572,197.8281,6.999073908274863
3.182,0.1128,1.54488,9.0929,197.7824,7.141432699492123
3.225,-0.0967,-0.06688,9.9991,197.7373,7.286055721822308
3.268,0.2409,0.78736,9.4748,197.6891,7.433010530777457
3.311,0.4767,1.75368,7.9066,197.6273,7.582540183787454
3.354,-0.305,0.8812,11.4572,197.5707,7.734698452554152
3.397,0.4216,-0.72576,13.7281,197.5211,7.889229682490826
3.44,0.2241,1.09,8.7709,197.4577,8.046246781511236
3.483,-0.3505,0.91952,7.3919,197.3902,8.205820035539926
3.526,-0.1709,-1.2716,11.1124,197.3219,8.367598718015076
3.569,0.4348,-0.28424,10.4588,197.2374,8.531452520645487
3.612,0.1224,-0.11952,7.0722,197.1436,8.697295720399147
3.655,-0.2451,-3.11232,10.6324,197.0445,8.864486672763878
3.698,0.9232,-3.40152,11.8942,196.9309,9.032389416934752
3.741,0.2612,-0.8704,6.1804,196.8057,9.200911608088225
3.784,0.1224,-1.54648,8.4285,196.6803,9.369842808257651
3.827,0.0733,-1.79648,10.8431,196.5664,9.53894664419652
3.87,0.6287,-1.81848,10.7102,196.4611,9.708003606597343
3.913,1.0872,-0.7076,9.5442,196.3633,9.87702317422805
3.956,0.4623,-1.04752,10.3056,196.2877,10.04595208353646
3.999,0.1379,-2.1048,11.2753,196.2417,10.214544251800508
4.042,0.43,-1.1452,9.8914,196.1988,10.382757928090859
4.085,0.1128,-0.58208,9.7346,196.1694,10.550663716933487
4.128,0.5007,0.09496,9.7908,196.1445,10.718450711064543
4.171,-0.1051,0.3248,11.2381,196.1378,10.886336257985635
4.214,0.0637,0.3344,11.043,196.1421,11.054516888568024
4.257,0.0182,0.76248,10.8658,196.155,11.223250752993735
4.3,0.205,-0.24408,9.4449,196.184,11.39257880202998
4.343,-0.0129,-0.06592,9.5047,196.213,11.562573123670504
4.386,0.448,1.17712,6.8795,196.2207,11.733530034457408
4.429,-0.0009,-0.51032,10.9568,196.2464,11.905400724575577
4.472,-0.0165,-0.63864,11.4967,196.2692,12.078117274036535
4.515,0.2971,0.162,7.8647,196.2782,12.251767365437045
4.558,0.2564,-0.6836,8.4549,196.2908,12.426270443468528
4.601,0.2277,-0.3676,10.5283,196.298,12.60161387453016
4.644,0.3187,-0.40976,8.4872,196.3012,12.777777513736654
4.687,0.2708,0.21184,9.7035,196.2934,12.954860940701304
4.73,0.3307,0.22424,11.62,196.2849,13.132955523264064
4.773,0.436,0.19648,11.1747,196.2763,13.31213721508529
4.816,0.2337,0.18304,10.1631,196.2671,13.492473531594797
4.859,0.4564,1.21256,8.17,196.2391,13.67421755108348
4.902,0.3426,-0.83496,10.5582,196.2362,13.85721136661926
4.945,0.3905,0.7136,8.4645,196.21,14.041604742359459
4.988,0.6299,-0.59552,10.3355,196.1964,14.227282943902706
5.031,0.436,0.55848,10.5726,196.162,14.414362298508431
5.074,0.7939,0.57096,9.1863,196.1152,14.602946311813977
5.117,0.5366,0.09496,10.2086,196.0626,14.793040623449105
5.16,0.0374,-0.21912,11.7134,196.0114,14.984595891489914
5.203,0.3343,1.04688,8.1831,195.9207,15.177803847880588
5.246,0.2971,-0.06592,9.6077,195.8397,15.372627349176163
5.289,0.4887,0.62552,9.2174,195.7325,15.569161576700656
5.332,0.667,0.86208,8.9337,195.6163,15.767535013431218
5.375,0.199,-0.50648,10.6204,195.5128,15.967609659693556
5.418,0.2756,0.55176,11.2238,195.3791,16.16946034078671
5.461,0.1834,0.16296,10.2206,195.2372,16.37308197618514
5.504,0.1319,0.85824,9.9141,195.0707,16.578601794977
5.547,-0.0033,0.5384,11.0394,194.9119,16.786075350477958
5.59,0.0326,-0.0736,11.6236,194.7524,16.995436788982378
5.633,-0.1829,-0.6664,10.9616,194.5943,17.206517201170882
5.676,0.3259,1.54296,6.7753,194.3955,17.419576366893047
5.719,0.5557,0.32096,7.0746,194.2194,17.634615040314642
5.762,0.4695,0.38896,11.231,194.0421,17.851647612976215
5.805,0.1475,-1.2276,11.8558,193.8815,18.07038525014283
5.848,0.1092,0.30376,8.3675,193.701,18.290857457072377
5.891,0.3426,0.81608,6.3276,193.5065,18.513185070462296
5.934,0.4276,-0.34648,10.1368,193.343,18.73725652842286
5.977,0.3283,0.3756,10.3619,193.1716,18.963108755216346
6.02,0.3558,0.29416,10.6348,193.0088,19.190759332541738
6.063,0.0218,-0.40112,12.3898,192.8656,19.420096332980005
6.106,0.3199,1.1312,10.5271,192.7133,19.651305152442657
6.149,0.0948,-1.23624,10.8168,192.6036,19.884108139626058
6.192,0.1272,0.9904,9.3479,192.478,20.118675351607852
6.235,0.2888,0.66192,5.3664,192.3535,20.355096165251833
6.278,0.0062,0.1496,11.5649,192.2588,20.593357253497423
6.321,0.5629,0.23192,10.4983,192.1685,20.83345639357843
6.364,0.5833,-0.38288,9.8902,192.0911,21.075275348816103
6.407,0.1092,0.4244,9.7142,192.0048,21.318864999809097
6.45,0.1738,-0.5888,10.7318,191.9358,21.56407922696288
6.493,0.3558,0.9224,7.4517,191.8411,21.81106989758601
6.536,0.0853,0.51344,9.5167,191.7556,22.059899292386653
6.579,-0.214,-0.4164,12.4113,191.6835,22.310451011578454
6.622,0.1379,-0.23736,10.1787,191.6092,22.562650459368353
6.665,0.5485,1.28536,7.3116,191.5105,22.81671373219834
6.708,0.4252,0.20128,9.7477,191.429,23.07263197475466
6.751,0.3977,-0.32352,12.385,191.3533,23.330298455202314
6.794,0.6263,0.41008,8.7805,191.2616,23.58975329148471
6.837,0.4372,-0.50744,9.6065,191.1853,23.85086135158615
6.88,0.4204,-0.04864,9.6161,191.103,24.113587816785508
6.923,0.4695,0.68776,8.3854,191.0035,24.378039892311975
6.966,0.0817,-0.26704,10.0853,190.9234,24.64413775220925
7.009,0.0302,0.27408,13.2026,190.8397,24.911912201175323
7.052,0.2828,-0.96328,11.3567,190.7727,25.181154847118062
7.095,0.3115,0.54792,9.4916,190.686,25.45196313278827
7.138,-0.074,-0.20192,9.5023,190.6176,25.724287034534886
7.181,0.1391,0.81896,9.7765,190.5433,25.998272110847456
7.224,0.0757,0.02216,8.4645,190.4864,26.27389956240378
7.267,0.1918,-0.0956,10.132,190.4416,26.55112908431695
7.31,0.3702,0.79888,8.6476,190.393,26.830091523848193
7.353,0.1224,-0.41736,8.9948,190.3711,27.11067746938621
7.396,0.1738,0.4656,9.5622,190.3461,27.392954629917995
7.439,0.3881,0.78448,8.5518,190.3207,27.677042076911285
7.482,0.2756,0.4024,8.9948,190.31,27.962975952486108
7.525,0.3666,0.22136,11.9672,190.3177,28.2507537462153
7.568,0.8119,0.83912,10.3331,190.3279,28.540485607646737
7.611,0.6766,-0.24408,12.3898,190.3577,28.832067545457715
7.654,-0.0752,-0.78128,12.7022,190.4107,29.125311720431892
7.697,-0.1769,1.0584,7.5678,190.4492,29.420397315660875
7.74,-1.447,-3.56816,11.3351,190.5215,29.716623934634985
7.783,-0.7563,-1.00824,11.3279,190.6297,30.013837824537234
7.826,0.017,-2.38256,6.1995,190.7263,30.31163380999632
7.869,0.6623,-0.41448,5.1509,190.8496,30.610012824537876
7.912,0.011,-2.64016,7.7462,190.9791,30.908561572586862
7.955,0.3091,-2.46776,12.1994,191.1402,31.206937870368613
7.998,1.0286,-2.23312,9.6556,191.3072,31.50487145197745
8.041,0.7616,-2.46296,9.8495,191.501,31.802078209036566
8.084,0.0853,-2.282,12.1288,191.7543,32.09834284304227
8.127,0.5042,-1.422,10.7665,192.0293,32.393630125492045
8.17,0.2086,-1.32144,11.0167,192.3042,32.68793005138766
8.213,-0.4223,-1.06192,12.5717,192.5986,32.98128833966502
8.256,-0.1997,0.13904,9.3336,192.8971,33.27397082855537
8.299,-0.1757,-0.5084,8.3376,193.2072,33.56609427888982
8.342,0.4372,2.49016,6.5503,193.5036,33.85832441722469
8.385,0.211,0.39088,9.6041,193.7742,34.15086607600752
8.428,0.3726,-0.29096,15.5621,194.0291,34.44377341278006
8.471,0.442,0.55848,10.806,194.2432,34.73725495520015
8.514,0.7125,0.42152,7.235,194.4112,35.031470116832004
8.557,0.0493,0.29128,9.5442,194.5533,35.3265437353224
8.6,0.351,1.09288,8.6859,194.6384,35.62273682990074
8.643,0.0589,-0.3408,8.0072,194.6939,35.92001621264676
8.686,-0.0799,0.52592,9.0247,194.6926,36.21851689569256
8.729,-0.0991,-0.04296,8.735,194.6785,36.51825312183438
8.772,0.6694,0.48184,8.4908,194.6163,36.81932999463196
8.815,0.515,-0.39344,12.1192,194.5339,37.12167822501525
8.858,0.7054,-0.69416,12.7046,194.4306,37.42517701274457
8.901,0.6778,-0.15112,10.6647,194.3056,37.7298204584659
8.944,0.1655,-0.09944,7.3045,194.1755,38.035617538214815
8.987,-0.4822,-0.3896,10.6851,194.0466,38.34252719762035
9.03,-0.2463,-0.05824,6.998,193.9147,38.65057294509868
9.073,0.2672,2.1952,5.6525,193.787,38.96019696418818
9.116,-0.0392,-1.27256,12.6519,193.6788,39.27114505419495
9.159,0.3247,-1.422,18.6673,193.587,39.58315704037115
9.202,0.6599,-0.21624,12.2676,193.497,39.89622356838391
9.245,0.3414,-0.45664,6.7514,193.4221,40.21029360373494
9.288,0.3522,-1.00064,9.16,193.3626,40.525218402833225
9.331,0.1535,1.22216,8.0527,193.2839,40.84128556561294
9.374,-0.0105,-0.97288,9.3862,193.2466,41.15834082042189
9.417,0.0194,0.82568,9.7094,193.2033,41.476584692084195
9.46,0.4085,-0.46528,8.48,193.1835,41.79595053705591
9.503,0.7161,0.28176,7.8647,193.1564,42.116516851879915
9.546,0.4959,0.0308,9.1193,193.136,42.43830880050844
9.589,0.752,0.298,10.059,193.1108,42.761397349852004
9.632,0.3654,-0.07552,10.6516,193.0898,43.08577914136592
9.675,0.0529,0.17448,11.31,193.0666,43.41150100691317
9.718,0.205,0.19456,10.5714,193.042,43.73860759844948
9.761,-0.0536,0.0892,9.64,193.0149,44.06712136677651
9.804,-0.7371,-0.63672,11.1567,192.9959,44.3969310948644
9.847,-0.4355,0.86208,8.237,192.9615,44.72821714085368
9.89,-0.1051,1.26144,5.443,192.9307,45.06121445771456
9.933,-0.2308,-2.168,12.6112,192.91,45.3954878575872
9.976,0.2397,0.10648,13.2253,192.878,45.731071305123095
10.019,0.7485,0.47904,5.6968,192.8274,46.068061555565954
10.062,0.6479,-0.46144,10.0758,192.7861,46.40636894548201
10.105,0.5916,0.16872,11.9684,192.7326,46.746032283873404
10.148,1.3542,-1.1596,12.1288,192.6852,47.08682943664827
10.191,0.7951,0.0136,10.7318,192.6225,47.42878669674038
10.234,0.3331,-0.4528,9.2186,192.6248,47.771843446939705
10.277,0.509,0.01928,7.6277,192.5614,48.11603287700694
10.32,0.7042,1.28056,7.3428,192.4686,48.46162152234746
10.363,0.7389,-0.06688,9.1767,192.4092,48.808594559986645
10.406,0.6934,-1.8616,13.5689,192.3937,49.15660011275387
10.449,-0.5708,-0.78128,13.0829,192.3683,49.50553567268737
10.492,-0.2655,0.026,9.4042,192.3423,49.85545892758737
10.535,0.5737,1.16856,4.1597,192.3258,50.20663088288182
10.578,0.6886,-2.1096,9.5825,192.3622,50.558666435731176
10.621,-0.3146,1.79392,10.7449,192.3411,50.91196419250994
10.664,0.1379,-1.59056,11.1077,192.3784,51.266240057573405
10.707,-0.1422,0.44264,8.6835,192.3979,51.6216245287977
10.75,-0.0057,0.31808,7.9377,192.4208,51.97821042368804
10.793,-0.1362,0.06144,11.4273,192.4529,52.33603378654213
10.836,0.0374,-0.8464,11.5039,192.4872,52.69495420606642
10.879,-0.2164,-0.76216,12.2856,192.5166,53.05486314577846
10.922,0.1978,0.99136,7.6133,192.5157,53.41599091534639
10.965,0.1631,-1.1692,12.0761,192.5293,53.778136972815076
11.008,-0.384,-0.10232,12.1336,192.5313,54.141326487681724
11.051,-0.0524,-0.53904,9.3503,192.5308,54.5054970578965
11.094,0.5402,2.08216,5.8356,192.5193,54.87108314662682
11.137,0.0218,-3.2004,11.4859,192.4983,55.237481902190545
11.18,-0.1673,1.54296,9.8076,192.4673,55.60504810971294
11.223,-0.0273,0.23864,6.4449,192.4333,55.97385363712259
11.266,0.2888,-1.68536,9.828,192.4116,56.34359737891692
11.309,0.199,1.49704,9.0247,192.3717,56.714610139194185
11.352,1.1638,0.38416,7.9521,192.324,57.08697230787126
11.395,0.4899,-1.49192,13.8131,192.2938,57.46040690863085
11.438,-0.7587,0.11224,14.5146,192.2538,57.83497687023596
11.481,-0.3828,-0.81576,10.794,192.2168,58.210560702982356
11.524,-0.0524,0.83432,6.0894,192.1625,58.587358298464224
11.567,0.2959,-0.1224,7.6492,192.1138,58.965366289352175
11.61,-0.214,-0.48728,11.6847,192.0633,59.344516440889095
11.653,-0.0859,-0.11096,9.7837,191.9991,59.72481747398236
11.696,-0.141,-0.6932,11.5769,191.9322,60.1061676413701
11.739,-0.1697,-0.5476,10.9449,191.8582,60.48850306763384
11.782,0.3905,-0.41832,8.7123,191.7847,60.87178663156867
11.825,0.8622,1.14552,6.2187,191.7021,61.256276950239325
11.868,0.4276,-2.12304,10.1883,191.6284,61.641592514196404
11.911,0.4109,1.83504,9.3958,191.5491,62.02813777288428
11.954,0.6886,-1.62696,8.4417,191.4834,62.415620782564496
11.997,0.2133,0.79024,10.1069,191.4068,62.804238825158464
12.04,-0.0105,-1.10976,10.9987,191.3448,63.193812143311625
12.083,-0.6127,-0.71904,14.833,191.2917,63.58425704579844
12.126,-0.7599,0.34688,10.642,191.2401,63.975700576483476
12.169,-0.0069,-0.05152,7.083,191.195,64.36817642670074
12.212,-0.615,-0.7468,9.895,191.1619,64.76158789707677
12.255,-0.2416,1.80632,8.1113,191.1366,65.15632758135924
12.298,0.2828,-1.4996,9.415,191.1173,65.55212059836802
12.341,-0.3265,-0.132,11.9624,191.1054,65.9489822271528
12.384,-0.299,-1.4756,11.4069,191.0917,66.34667221472003
12.427,-0.1242,-0.00656,10.1823,191.0837,66.74525060680368
12.47,0.4001,-0.98624,8.6129,191.0704,67.1445826757195
12.513,0.618,-0.05056,9.7334,191.06,67.54472238418036
12.556,0.6299,-0.40592,9.5562,191.0437,67.94565108885386
12.599,0.5437,0.0088,9.4928,191.021,68.34743096303495
12.642,0.2026,-1.11456,10.0997,191.0036,68.74990817317345
12.685,0.782,1.9356,8.3687,190.9844,69.15351634423394
12.728,0.3738,-3.27224,11.7361,190.9683,69.55766485392505
12.771,0.375,1.74792,8.911,190.9539,69.96277045524076
12.814,0.4899,-1.2324,7.0363,190.9492,70.36864441896672
12.857,0.0386,-0.08792,12.1264,190.9368,70.77533628643295
12.9,-0.3732,-0.76984,13.7353,190.9304,71.18276475210307
12.943,0.4959,0.1256,9.0474,190.919,71.59101962461585
12.986,0.3115,-1.1912,9.3743,190.9211,71.9999342929729
13.029,0.1224,1.40696,7.7354,190.9157,72.40985094873727
13.072,0.0362,-0.9144,9.7082,190.9149,72.82063966565504
13.115,0.2576,0.68488,9.4904,190.8936,73.23248404642555
13.158,0.4336,-0.7708,8.0862,190.8772,73.64527310197651
13.201,0.5677,1.05264,8.2143,190.8303,74.0592504421824
13.244,0.3438,-1.286,10.5103,190.8033,74.47419513127325
13.287,0.1966,-0.01424,11.5386,190.7608,74.89014961169329
13.33,0.1188,-0.4796,10.879,190.721,75.30706472682682
13.373,0.867,1.56696,7.4792,190.6755,75.72527752630867
13.416,0.5856,-2.05792,13.5545,190.6458,76.144408607313
13.459,-0.961,-0.3092,15.9188,190.6054,76.56445781883392
13.502,-0.3481,0.06432,9.2545,190.569,76.98549122841129
13.545,0.0458,-0.38096,7.3655,190.547,77.40748138578199
13.588,0.0589,0.592,6.6796,190.5236,77.83058728728504
13.631,0.1104,-0.43272,8.996,190.5149,78.25475809183693
13.674,0.503,0.67056,9.3012,190.5077,78.68015367415789
13.717,0.0326,-2.01768,10.6575,190.5282,79.10641343833454
13.76,0.0062,0.56616,9.7513,190.5406,79.53370112994764
13.803,0.2852,-1.4316,7.2219,190.5738,79.96178476067311
